-23,-7,71
-32,-11,79
-37,-9,80
-37,-5,69
-36,-6,66
-33,-5,64
-24,-1,54
-19,0,49
-14,0,43
-13,0,43
-12,-2,41
-15,-4,42
-16,-5,44
-17,-6,51
-17,-5,55
-23,-6,64
-26,-6,70
-23,1,78
-26,4,80
-24,6,83
-19,11,82
-16,9,75
-14,5,65
-16,5,66
-16,5,60
-10,1,45
-11,-1,41
-13,-6,40
-12,-8,41
-13,-8,46
-12,-9,48
-16,-10,47
-6,-11,57
-10,-12,60
-17,-13,61
-13,-8,69
-12,-3,73
-22,-11,64
-31,-14,71
-25,-13,72
-29,-14,70
-42,-13,64
-38,-11,65
-28,-8,56
-24,-3,50
-8,-1,49
-17,2,48
-17,1,47
-14,-2,45
-14,-3,48
-14,-1,53
-15,-2,54
-14,-3,66
-20,1,73
-24,2,72
-23,5,76
-22,7,78
-29,14,78
-24,16,74
-20,12,63
-17,11,62
-16,12,60
-13,11,49
-10,7,46
-9,4,46
-12,2,44
-15,-2,42
-15,-5,45
-16,-6,47
-18,-9,52
-21,-10,55
-23,-11,57
-25,-9,61
-32,-1,73
-35,-1,73
-38,-1,72
-38,2,76
-38,5,75
-40,7,66
-39,6,65
-32,6,62
-25,7,52
-20,7,46
-14,7,40
-13,7,39
-18,5,38
-21,3,38
-21,3,44
-31,5,56
-32,5,57
-38,5,57
-42,6,58
-41,8,67
-40,7,68
-49,8,72
-50,12,70
-42,12,63
-30,9,59
-27,7,60
-27,7,53
-25,6,47
-20,4,41
-15,0,41
-15,-1,42
-23,-2,47
-24,-2,50
-28,-2,56
-30,-1,56
-30,-1,58
-33,3,60
-35,6,63
-40,5,62
-43,3,62
-52,3,67
-51,9,61
-46,7,55
-34,2,52
-33,3,53
-34,6,48
-29,6,45
-22,5,40
-19,2,38
-25,-2,38
-29,-5,43
-37,-6,44
-50,-4,46
-49,-2,49
-44,-2,53
-43,-2,55
-46,1,56
-47,-1,62
-49,0,67
-41,8,66
-34,10,60
-21,3,56
-21,1,55
-33,7,56
-30,10,56
-24,9,54
-15,5,50
-13,4,48
-18,1,49
-24,-2,51
-25,-3,53
-29,-5,53
-31,-5,54
-37,-4,57
-39,-6,57
-45,-11,60
