datatime,acc_x,acc_y,acc_z
2021-11-08 23:25:57.781250-05:00,-57,-48,42
2021-11-08 23:25:57.812500-05:00,-41,-33,30
2021-11-08 23:25:57.843750-05:00,-34,-26,27
2021-11-08 23:25:57.875000-05:00,-30,-19,24
2021-11-08 23:25:57.906250-05:00,-28,-17,19
2021-11-08 23:25:57.937500-05:00,-26,-18,18
2021-11-08 23:25:57.968750-05:00,-29,-25,20
2021-11-08 23:25:58-05:00,-30,-27,21
2021-11-08 23:25:58.031250-05:00,-27,-26,21
2021-11-08 23:25:58.062500-05:00,-26,-23,23
2021-11-08 23:25:58.093750-05:00,-25,-19,21
2021-11-08 23:25:58.125000-05:00,-24,-19,20
2021-11-08 23:25:58.156250-05:00,-30,-18,21
2021-11-08 23:25:58.187500-05:00,-69,-37,37
2021-11-08 23:25:58.218750-05:00,-86,-55,53
2021-11-08 23:25:58.250000-05:00,-102,-110,61
2021-11-08 23:25:58.281250-05:00,-95,-101,56
2021-11-08 23:25:58.312500-05:00,-71,-75,44
2021-11-08 23:25:58.343750-05:00,-44,-43,28
2021-11-08 23:25:58.375000-05:00,-35,-31,24
2021-11-08 23:25:58.406250-05:00,-22,-15,19
2021-11-08 23:25:58.437500-05:00,-19,-10,15
2021-11-08 23:25:58.468750-05:00,-11,-4,7
2021-11-08 23:25:58.500000-05:00,-5,-3,5
2021-11-08 23:25:58.531250-05:00,3,-1,3
2021-11-08 23:25:58.562500-05:00,0,-8,5
2021-11-08 23:25:58.593750-05:00,-1,-15,8
2021-11-08 23:25:58.625000-05:00,-5,-31,9
2021-11-08 23:25:58.656250-05:00,-4,-43,11
2021-11-08 23:25:58.687500-05:00,-6,-87,7
2021-11-08 23:25:58.718750-05:00,-10,-128,11
2021-11-08 23:25:58.750000-05:00,17,-128,26
2021-11-08 23:25:58.781250-05:00,-87,-128,-16
2021-11-08 23:25:58.812500-05:00,-49,-100,-3
2021-11-08 23:25:58.843750-05:00,-46,-66,-17
2021-11-08 23:25:58.875000-05:00,-36,-51,-19
2021-11-08 23:25:58.906250-05:00,-32,-33,-19
2021-11-08 23:25:58.937500-05:00,-28,-30,-17
2021-11-08 23:25:58.968750-05:00,-15,-24,-6
2021-11-08 23:25:59-05:00,-9,-17,3
2021-11-08 23:25:59.031250-05:00,-12,-13,3
2021-11-08 23:25:59.062500-05:00,-18,-11,1
2021-11-08 23:25:59.093750-05:00,-21,-13,1
2021-11-08 23:25:59.125000-05:00,-19,-25,3
2021-11-08 23:25:59.156250-05:00,-25,-40,12
2021-11-08 23:25:59.187500-05:00,-29,-128,29
2021-11-08 23:25:59.218750-05:00,-37,-128,-32
2021-11-08 23:25:59.250000-05:00,-37,-128,-46
2021-11-08 23:25:59.281250-05:00,7,-121,8
2021-11-08 23:25:59.312500-05:00,21,-98,27
2021-11-08 23:25:59.343750-05:00,3,-69,0
2021-11-08 23:25:59.375000-05:00,-13,-59,-8
2021-11-08 23:25:59.406250-05:00,-33,-56,-6
2021-11-08 23:25:59.437500-05:00,-22,-55,4
2021-11-08 23:25:59.468750-05:00,-13,-48,9
2021-11-08 23:25:59.500000-05:00,-3,-37,6
2021-11-08 23:25:59.531250-05:00,1,-29,3
2021-11-08 23:25:59.562500-05:00,4,-23,1
2021-11-08 23:25:59.593750-05:00,4,-21,0
2021-11-08 23:25:59.625000-05:00,0,-16,-3
2021-11-08 23:25:59.656250-05:00,-9,-18,0
2021-11-08 23:25:59.687500-05:00,-10,-23,2
2021-11-08 23:25:59.718750-05:00,-1,-37,3
2021-11-08 23:25:59.750000-05:00,-10,-58,4
2021-11-08 23:25:59.781250-05:00,-22,-128,12
2021-11-08 23:25:59.812500-05:00,-21,-128,16
2021-11-08 23:25:59.843750-05:00,-4,-128,4
2021-11-08 23:25:59.875000-05:00,-19,-125,9
2021-11-08 23:25:59.906250-05:00,-33,-96,-7
2021-11-08 23:25:59.937500-05:00,-28,-52,-8
2021-11-08 23:25:59.968750-05:00,-13,-48,0
2021-11-08 23:26:00-05:00,-3,-47,6
2021-11-08 23:26:00.031250-05:00,-1,-39,9
2021-11-08 23:26:00.062500-05:00,-6,-30,12
2021-11-08 23:26:00.093750-05:00,-14,-32,17
2021-11-08 23:26:00.125000-05:00,-20,-32,18
2021-11-08 23:26:00.156250-05:00,-29,-30,15
2021-11-08 23:26:00.187500-05:00,-30,-32,13
2021-11-08 23:26:00.218750-05:00,-25,-41,11
2021-11-08 23:26:00.250000-05:00,-23,-50,9
2021-11-08 23:26:00.281250-05:00,-20,-84,8
2021-11-08 23:26:00.312500-05:00,-13,-128,0
2021-11-08 23:26:00.343750-05:00,-18,-128,-3
2021-11-08 23:26:00.375000-05:00,-6,-128,-9
2021-11-08 23:26:00.406250-05:00,-2,-123,-7
2021-11-08 23:26:00.437500-05:00,3,-103,0
2021-11-08 23:26:00.468750-05:00,0,-89,0
2021-11-08 23:26:00.500000-05:00,-11,-72,-9
2021-11-08 23:26:00.531250-05:00,-21,-59,-12
2021-11-08 23:26:00.562500-05:00,-21,-54,-9
2021-11-08 23:26:00.593750-05:00,-12,-48,-3
2021-11-08 23:26:00.625000-05:00,-7,-45,-4
2021-11-08 23:26:00.656250-05:00,0,-33,-5
2021-11-08 23:26:00.687500-05:00,4,-23,-4
2021-11-08 23:26:00.718750-05:00,2,-20,-4
2021-11-08 23:26:00.750000-05:00,-2,-20,-5
2021-11-08 23:26:00.781250-05:00,-4,-17,-5
2021-11-08 23:26:00.812500-05:00,-5,-17,-6
2021-11-08 23:26:00.843750-05:00,-6,-24,-6
2021-11-08 23:26:00.875000-05:00,-17,-48,0
2021-11-08 23:26:00.906250-05:00,-38,-97,11
2021-11-08 23:26:00.937500-05:00,-23,-128,21
2021-11-08 23:26:00.968750-05:00,-31,-128,8
2021-11-08 23:26:01-05:00,-39,-128,2
2021-11-08 23:26:01.031250-05:00,-30,-114,4
2021-11-08 23:26:01.062500-05:00,-27,-93,2
2021-11-08 23:26:01.093750-05:00,-14,-57,0
2021-11-08 23:26:01.125000-05:00,-7,-54,5
2021-11-08 23:26:01.156250-05:00,4,-45,17
2021-11-08 23:26:01.187500-05:00,-3,-32,15
2021-11-08 23:26:01.218750-05:00,-8,-30,13
2021-11-08 23:26:01.250000-05:00,-15,-32,22
2021-11-08 23:26:01.281250-05:00,-19,-31,25
2021-11-08 23:26:01.312500-05:00,-29,-30,24
2021-11-08 23:26:01.343750-05:00,-31,-32,21
2021-11-08 23:26:01.375000-05:00,-23,-45,12
