datatime,acc_x,acc_y,acc_z,label
2021-10-27 15:42:49.937500+00:00,-2,-19,59,sitting
2021-10-27 15:42:49.968750+00:00,-2,-19,60,sitting
2021-10-27 15:42:50+00:00,-2,-19,60,sitting
2021-10-27 15:42:50.031250+00:00,-1,-20,61,sitting
2021-10-27 15:42:50.062500+00:00,-1,-19,60,sitting
2021-10-27 15:42:50.093750+00:00,-2,-19,61,sitting
2021-10-27 15:42:50.125000+00:00,-2,-19,62,sitting
2021-10-27 15:42:50.156250+00:00,-1,-19,62,sitting
2021-10-27 15:42:50.187500+00:00,-2,-19,61,sitting
2021-10-27 15:42:50.218750+00:00,-1,-18,60,sitting
2021-10-27 15:42:50.250000+00:00,-1,-18,62,sitting
2021-10-27 15:42:50.281250+00:00,0,-18,62,sitting
2021-10-27 15:42:50.312500+00:00,0,-18,60,sitting
2021-10-27 15:42:50.343750+00:00,-1,-18,60,sitting
2021-10-27 15:42:50.375000+00:00,-1,-18,60,sitting
2021-10-27 15:42:50.406250+00:00,-1,-18,60,sitting
2021-10-27 15:42:50.437500+00:00,-1,-17,59,sitting
2021-10-27 15:42:50.468750+00:00,-1,-17,60,sitting
2021-10-27 15:42:50.500000+00:00,-1,-17,59,sitting
2021-10-27 15:42:50.531250+00:00,-1,-18,58,sitting
2021-10-27 15:42:50.562500+00:00,-1,-17,58,sitting
2021-10-27 15:42:50.593750+00:00,-1,-18,59,sitting
2021-10-27 15:42:50.625000+00:00,0,-18,59,sitting
2021-10-27 15:42:50.656250+00:00,-1,-18,59,sitting
2021-10-27 15:42:50.687500+00:00,0,-18,59,sitting
2021-10-27 15:42:50.718750+00:00,0,-19,60,sitting
2021-10-27 15:42:50.750000+00:00,0,-19,59,sitting
2021-10-27 15:42:50.781250+00:00,1,-19,58,sitting
2021-10-27 15:42:50.812500+00:00,0,-19,59,sitting
2021-10-27 15:42:50.843750+00:00,1,-19,60,sitting
2021-10-27 15:42:50.875000+00:00,1,-19,61,sitting
2021-10-27 15:42:50.906250+00:00,0,-18,58,sitting
2021-10-27 15:42:50.937500+00:00,0,-18,57,sitting
2021-10-27 15:42:50.968750+00:00,0,-16,58,sitting
2021-10-27 15:42:51+00:00,1,-17,59,sitting
2021-10-27 15:42:51.031250+00:00,1,-16,61,sitting
2021-10-27 15:42:51.062500+00:00,0,-16,61,sitting
2021-10-27 15:42:51.093750+00:00,-1,-16,61,sitting
2021-10-27 15:42:51.125000+00:00,-2,-15,62,sitting
2021-10-27 15:42:51.156250+00:00,-2,-15,62,sitting
2021-10-27 15:42:51.187500+00:00,-1,-15,62,sitting
2021-10-27 15:42:51.218750+00:00,-1,-15,62,sitting
2021-10-27 15:42:51.250000+00:00,-1,-15,63,sitting
2021-10-27 15:42:51.281250+00:00,-1,-14,63,sitting
2021-10-27 15:42:51.312500+00:00,-2,-14,63,sitting
2021-10-27 15:42:51.343750+00:00,0,-14,63,sitting
2021-10-27 15:42:51.375000+00:00,0,-14,62,sitting
2021-10-27 15:42:51.406250+00:00,-1,-13,61,sitting
2021-10-27 15:42:51.437500+00:00,-1,-13,62,sitting
2021-10-27 15:42:51.468750+00:00,-1,-13,62,sitting
2021-10-27 15:42:51.500000+00:00,-1,-13,62,sitting
2021-10-27 15:42:51.531250+00:00,-2,-12,62,sitting
2021-10-27 15:42:51.562500+00:00,0,-12,61,sitting
2021-10-27 15:42:51.593750+00:00,1,-12,60,sitting
2021-10-27 15:42:51.625000+00:00,-1,-12,61,sitting
2021-10-27 15:42:51.656250+00:00,1,-13,61,sitting
2021-10-27 15:42:51.687500+00:00,-1,-14,61,sitting
2021-10-27 15:42:51.718750+00:00,-1,-13,61,sitting
2021-10-27 15:42:51.750000+00:00,1,-14,62,sitting
2021-10-27 15:42:51.781250+00:00,0,-15,62,sitting
2021-10-27 15:42:51.812500+00:00,0,-15,61,sitting
2021-10-27 15:42:51.843750+00:00,-1,-15,60,sitting
2021-10-27 15:42:51.875000+00:00,-2,-15,61,sitting
2021-10-27 15:42:51.906250+00:00,0,-14,62,sitting
2021-10-27 15:42:51.937500+00:00,-1,-14,61,sitting
2021-10-27 15:42:51.968750+00:00,0,-13,61,sitting
2021-10-27 15:42:52+00:00,-2,-14,61,sitting
2021-10-27 15:42:52.031250+00:00,-1,-14,61,sitting
2021-10-27 15:42:52.062500+00:00,-2,-13,60,sitting
2021-10-27 15:42:52.093750+00:00,-1,-13,60,sitting
2021-10-27 15:42:52.125000+00:00,-2,-13,60,sitting
2021-10-27 15:42:52.156250+00:00,-2,-12,59,sitting
2021-10-27 15:42:52.187500+00:00,-2,-12,59,sitting
2021-10-27 15:42:52.218750+00:00,-3,-12,59,sitting
2021-10-27 15:42:52.250000+00:00,-4,-11,59,sitting
2021-10-27 15:42:52.281250+00:00,-3,-11,65,sitting
2021-10-27 15:42:52.312500+00:00,-8,-10,62,sitting
2021-10-27 15:42:52.343750+00:00,-5,-9,60,sitting
2021-10-27 15:42:52.375000+00:00,-5,-8,57,sitting
2021-10-27 15:42:52.406250+00:00,2,-7,59,sitting
2021-10-27 15:42:52.437500+00:00,-3,-5,64,sitting
2021-10-27 15:42:52.468750+00:00,-4,-5,67,sitting
2021-10-27 15:42:52.500000+00:00,-3,-6,66,sitting
2021-10-27 15:42:52.531250+00:00,-2,-6,65,sitting
2021-10-27 15:42:52.562500+00:00,-3,-7,67,sitting
2021-10-27 15:42:52.593750+00:00,-2,-8,65,sitting
2021-10-27 15:42:52.625000+00:00,-2,-7,67,sitting
2021-10-27 15:42:52.656250+00:00,-2,-9,64,sitting
2021-10-27 15:42:52.687500+00:00,0,-10,63,sitting
2021-10-27 15:42:52.718750+00:00,-4,-9,64,sitting
2021-10-27 15:42:52.750000+00:00,-3,-9,63,sitting
2021-10-27 15:42:52.781250+00:00,0,-9,62,sitting
2021-10-27 15:42:52.812500+00:00,-1,-8,62,sitting
2021-10-27 15:42:52.843750+00:00,1,-9,62,sitting
2021-10-27 15:42:52.875000+00:00,-2,-9,60,sitting
2021-10-27 15:42:52.906250+00:00,-1,-9,61,sitting
2021-10-27 15:42:52.937500+00:00,2,-10,59,sitting
2021-10-27 15:42:52.968750+00:00,3,-10,59,sitting
2021-10-27 15:42:53+00:00,3,-11,59,sitting
2021-10-27 15:42:53.031250+00:00,2,-12,58,sitting
2021-10-27 15:42:53.062500+00:00,0,-11,59,sitting
2021-10-27 15:42:53.093750+00:00,-3,-12,59,sitting
2021-10-27 15:42:53.125000+00:00,-2,-12,59,sitting
2021-10-27 15:42:53.156250+00:00,-1,-12,60,sitting
2021-10-27 15:42:53.187500+00:00,-1,-12,61,sitting
2021-10-27 15:42:53.218750+00:00,4,-13,65,sitting
2021-10-27 15:42:53.250000+00:00,5,-10,59,sitting
2021-10-27 15:42:53.281250+00:00,7,-14,58,sitting
2021-10-27 15:42:53.312500+00:00,3,-17,62,sitting
2021-10-27 15:42:53.343750+00:00,0,-10,61,sitting
2021-10-27 15:42:53.375000+00:00,7,-11,61,sitting
2021-10-27 15:42:53.406250+00:00,8,-8,65,sitting
2021-10-27 15:42:53.437500+00:00,7,-8,54,sitting
2021-10-27 15:42:53.468750+00:00,3,-21,47,sitting
2021-10-27 15:42:53.500000+00:00,4,-24,55,sitting
2021-10-27 15:42:53.531250+00:00,11,-24,74,sitting
2021-10-27 15:42:53.562500+00:00,7,-18,74,sitting
2021-10-27 15:42:53.593750+00:00,5,-15,64,sitting
2021-10-27 15:42:53.625000+00:00,6,-14,61,sitting
2021-10-27 15:42:53.656250+00:00,8,-14,56,sitting
2021-10-27 15:42:53.687500+00:00,7,-14,58,sitting
2021-10-27 15:42:53.718750+00:00,6,-14,57,sitting
2021-10-27 15:42:53.750000+00:00,3,-12,58,sitting
2021-10-27 15:42:53.781250+00:00,3,-13,58,sitting
2021-10-27 15:42:53.812500+00:00,4,-14,57,sitting
2021-10-27 15:42:53.843750+00:00,6,-14,57,sitting
2021-10-27 15:42:53.875000+00:00,7,-14,60,sitting
2021-10-27 15:42:53.906250+00:00,5,-15,61,sitting
2021-10-27 15:42:53.937500+00:00,7,-14,56,sitting
2021-10-27 15:42:53.968750+00:00,5,-13,60,sitting
2021-10-27 15:42:54+00:00,8,-14,58,sitting
2021-10-27 15:42:54.031250+00:00,9,-12,57,sitting
2021-10-27 15:42:54.062500+00:00,8,-12,62,sitting
2021-10-27 15:42:54.093750+00:00,9,-15,62,sitting
2021-10-27 15:42:54.125000+00:00,7,-12,54,sitting
2021-10-27 15:42:54.156250+00:00,7,-11,58,sitting
2021-10-27 15:42:54.187500+00:00,10,-14,56,sitting
2021-10-27 15:42:54.218750+00:00,11,-13,57,sitting
2021-10-27 15:42:54.250000+00:00,7,-13,62,sitting
2021-10-27 15:42:54.281250+00:00,9,-15,61,sitting
2021-10-27 15:42:54.312500+00:00,5,-14,56,sitting
2021-10-27 15:42:54.343750+00:00,4,-14,59,sitting
2021-10-27 15:42:54.375000+00:00,6,-16,58,sitting
2021-10-27 15:42:54.406250+00:00,5,-13,54,sitting
2021-10-27 15:42:54.437500+00:00,5,-11,54,sitting
2021-10-27 15:42:54.468750+00:00,6,-12,55,sitting
2021-10-27 15:42:54.500000+00:00,7,-12,55,sitting
2021-10-27 15:42:54.531250+00:00,4,-9,57,sitting
2021-10-27 15:42:54.562500+00:00,6,-11,59,sitting
