datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:12.343750+00:00,-8,-6,57,downstairs,2
2021-10-27 16:13:12.375000+00:00,-7,-6,58,downstairs,2
2021-10-27 16:13:12.406250+00:00,-9,-6,60,downstairs,2
2021-10-27 16:13:12.437500+00:00,-10,-6,62,downstairs,2
2021-10-27 16:13:12.468750+00:00,-12,-4,63,downstairs,2
2021-10-27 16:13:12.500000+00:00,-13,1,68,downstairs,2
2021-10-27 16:13:12.531250+00:00,-14,-1,68,downstairs,2
2021-10-27 16:13:12.562500+00:00,-18,-3,75,downstairs,2
2021-10-27 16:13:12.593750+00:00,-26,3,83,downstairs,2
2021-10-27 16:13:12.625000+00:00,-28,6,80,downstairs,2
2021-10-27 16:13:12.656250+00:00,-23,2,67,downstairs,2
2021-10-27 16:13:12.687500+00:00,-22,-1,64,downstairs,2
2021-10-27 16:13:12.718750+00:00,-19,-2,62,downstairs,2
2021-10-27 16:13:12.750000+00:00,-19,-2,56,downstairs,2
2021-10-27 16:13:12.781250+00:00,-12,2,49,downstairs,2
2021-10-27 16:13:12.812500+00:00,-9,3,49,downstairs,2
2021-10-27 16:13:12.843750+00:00,-9,2,46,downstairs,2
2021-10-27 16:13:12.875000+00:00,-9,1,46,downstairs,2
2021-10-27 16:13:12.906250+00:00,-8,-1,47,downstairs,2
2021-10-27 16:13:12.937500+00:00,-10,-4,51,downstairs,2
2021-10-27 16:13:12.968750+00:00,-13,-4,55,downstairs,2
2021-10-27 16:13:13+00:00,-12,-1,62,downstairs,2
2021-10-27 16:13:13.031250+00:00,-13,-2,64,downstairs,2
2021-10-27 16:13:13.062500+00:00,-12,0,69,downstairs,2
2021-10-27 16:13:13.093750+00:00,-13,4,72,downstairs,2
2021-10-27 16:13:13.125000+00:00,-12,4,74,downstairs,2
2021-10-27 16:13:13.156250+00:00,-10,6,77,downstairs,2
2021-10-27 16:13:13.187500+00:00,-11,6,78,downstairs,2
2021-10-27 16:13:13.218750+00:00,-13,14,75,downstairs,2
2021-10-27 16:13:13.250000+00:00,-10,12,61,downstairs,2
2021-10-27 16:13:13.281250+00:00,-10,10,59,downstairs,2
2021-10-27 16:13:13.312500+00:00,-11,8,60,downstairs,2
2021-10-27 16:13:13.343750+00:00,-11,9,59,downstairs,2
2021-10-27 16:13:13.375000+00:00,-8,8,52,downstairs,2
2021-10-27 16:13:13.406250+00:00,-7,6,50,downstairs,2
2021-10-27 16:13:13.437500+00:00,-8,2,51,downstairs,2
2021-10-27 16:13:13.468750+00:00,-7,-1,49,downstairs,2
2021-10-27 16:13:13.500000+00:00,-6,-3,49,downstairs,2
2021-10-27 16:13:13.531250+00:00,-6,-5,53,downstairs,2
2021-10-27 16:13:13.562500+00:00,-5,-7,55,downstairs,2
2021-10-27 16:13:13.593750+00:00,-7,-6,60,downstairs,2
2021-10-27 16:13:13.625000+00:00,-9,-4,61,downstairs,2
2021-10-27 16:13:13.656250+00:00,-7,-1,65,downstairs,2
2021-10-27 16:13:13.687500+00:00,-7,2,70,downstairs,2
2021-10-27 16:13:13.718750+00:00,-6,3,71,downstairs,2
2021-10-27 16:13:13.750000+00:00,-2,2,68,downstairs,2
2021-10-27 16:13:13.781250+00:00,-4,0,71,downstairs,2
2021-10-27 16:13:13.812500+00:00,-11,1,81,downstairs,2
2021-10-27 16:13:13.843750+00:00,-14,6,81,downstairs,2
2021-10-27 16:13:13.875000+00:00,-16,7,71,downstairs,2
2021-10-27 16:13:13.906250+00:00,-13,3,68,downstairs,2
