datetime,acc_x,acc_y,acc_z,subject_id,round,type,label
2021-12-08 14:50:15.281250+00:00,-13,42,8,3,1,InMotion,downstairs
2021-12-08 14:50:15.312500+00:00,-9,36,6,3,1,InMotion,downstairs
2021-12-08 14:50:15.343750+00:00,-9,39,6,3,1,InMotion,downstairs
2021-12-08 14:50:15.375000+00:00,-11,59,13,3,1,InMotion,downstairs
2021-12-08 14:50:15.406250+00:00,-28,82,9,3,1,InMotion,downstairs
2021-12-08 14:50:15.437500+00:00,-41,123,15,3,1,InMotion,downstairs
2021-12-08 14:50:15.468750+00:00,-36,126,17,3,1,InMotion,downstairs
2021-12-08 14:50:15.500000+00:00,-27,118,0,3,1,InMotion,downstairs
2021-12-08 14:50:15.531250+00:00,-27,87,-14,3,1,InMotion,downstairs
2021-12-08 14:50:15.562500+00:00,-30,65,-16,3,1,InMotion,downstairs
2021-12-08 14:50:15.593750+00:00,-39,35,-5,3,1,InMotion,downstairs
2021-12-08 14:50:15.625000+00:00,-40,27,-2,3,1,InMotion,downstairs
2021-12-08 14:50:15.656250+00:00,-35,25,-2,3,1,InMotion,downstairs
2021-12-08 14:50:15.687500+00:00,-24,31,-2,3,1,InMotion,downstairs
2021-12-08 14:50:15.718750+00:00,-16,36,1,3,1,InMotion,downstairs
2021-12-08 14:50:15.750000+00:00,15,45,26,3,1,InMotion,downstairs
2021-12-08 14:50:15.781250+00:00,3,45,18,3,1,InMotion,downstairs
2021-12-08 14:50:15.812500+00:00,-25,35,-1,3,1,InMotion,downstairs
2021-12-08 14:50:15.843750+00:00,-29,38,-6,3,1,InMotion,downstairs
2021-12-08 14:50:15.875000+00:00,-20,66,-16,3,1,InMotion,downstairs
2021-12-08 14:50:15.906250+00:00,-27,127,-13,3,1,InMotion,downstairs
2021-12-08 14:50:15.937500+00:00,-32,127,-14,3,1,InMotion,downstairs
2021-12-08 14:50:15.968750+00:00,-25,126,3,3,1,InMotion,downstairs
2021-12-08 14:50:16+00:00,-4,105,14,3,1,InMotion,downstairs
2021-12-08 14:50:16.031250+00:00,22,65,38,3,1,InMotion,downstairs
2021-12-08 14:50:16.062500+00:00,7,55,27,3,1,InMotion,downstairs
2021-12-08 14:50:16.093750+00:00,3,41,15,3,1,InMotion,downstairs
2021-12-08 14:50:16.125000+00:00,-9,33,6,3,1,InMotion,downstairs
2021-12-08 14:50:16.156250+00:00,-14,28,3,3,1,InMotion,downstairs
2021-12-08 14:50:16.187500+00:00,-15,18,-1,3,1,InMotion,downstairs
2021-12-08 14:50:16.218750+00:00,-17,15,-6,3,1,InMotion,downstairs
2021-12-08 14:50:16.250000+00:00,-15,23,0,3,1,InMotion,downstairs
2021-12-08 14:50:16.281250+00:00,-14,31,8,3,1,InMotion,downstairs
2021-12-08 14:50:16.312500+00:00,-10,54,13,3,1,InMotion,downstairs
2021-12-08 14:50:16.343750+00:00,-15,56,-5,3,1,InMotion,downstairs
2021-12-08 14:50:16.375000+00:00,-18,54,-8,3,1,InMotion,downstairs
2021-12-08 14:50:16.406250+00:00,-9,72,-6,3,1,InMotion,downstairs
2021-12-08 14:50:16.437500+00:00,-5,90,-10,3,1,InMotion,downstairs
2021-12-08 14:50:16.468750+00:00,-4,127,-26,3,1,InMotion,downstairs
