datatime,acc_x,acc_y,acc_z
2021-10-27 16:13:11.937500+00:00,-18,11,76
2021-10-27 16:13:11.968750+00:00,-18,14,70
2021-10-27 16:13:12+00:00,-13,12,59
2021-10-27 16:13:12.031250+00:00,-14,12,56
2021-10-27 16:13:12.062500+00:00,-15,10,57
2021-10-27 16:13:12.093750+00:00,-13,7,57
2021-10-27 16:13:12.125000+00:00,-21,6,59
2021-10-27 16:13:12.156250+00:00,-20,4,60
2021-10-27 16:13:12.187500+00:00,-16,2,57
2021-10-27 16:13:12.218750+00:00,-14,-1,55
2021-10-27 16:13:12.250000+00:00,-13,-2,53
2021-10-27 16:13:12.281250+00:00,-10,-2,51
2021-10-27 16:13:12.312500+00:00,-7,-4,51
2021-10-27 16:13:12.343750+00:00,-8,-6,57
2021-10-27 16:13:12.375000+00:00,-7,-6,58
2021-10-27 16:13:12.406250+00:00,-9,-6,60
2021-10-27 16:13:12.437500+00:00,-10,-6,62
2021-10-27 16:13:12.468750+00:00,-12,-4,63
2021-10-27 16:13:12.500000+00:00,-13,1,68
2021-10-27 16:13:12.531250+00:00,-14,-1,68
2021-10-27 16:13:12.562500+00:00,-18,-3,75
2021-10-27 16:13:12.593750+00:00,-26,3,83
2021-10-27 16:13:12.625000+00:00,-28,6,80
2021-10-27 16:13:12.656250+00:00,-23,2,67
2021-10-27 16:13:12.687500+00:00,-22,-1,64
2021-10-27 16:13:12.718750+00:00,-19,-2,62
2021-10-27 16:13:12.750000+00:00,-19,-2,56
2021-10-27 16:13:12.781250+00:00,-12,2,49
2021-10-27 16:13:12.812500+00:00,-9,3,49
2021-10-27 16:13:12.843750+00:00,-9,2,46
2021-10-27 16:13:12.875000+00:00,-9,1,46
2021-10-27 16:13:12.906250+00:00,-8,-1,47
2021-10-27 16:13:12.937500+00:00,-10,-4,51
2021-10-27 16:13:12.968750+00:00,-13,-4,55
2021-10-27 16:13:13+00:00,-12,-1,62
2021-10-27 16:13:13.031250+00:00,-13,-2,64
2021-10-27 16:13:13.062500+00:00,-12,0,69
2021-10-27 16:13:13.093750+00:00,-13,4,72
2021-10-27 16:13:13.125000+00:00,-12,4,74
2021-10-27 16:13:13.156250+00:00,-10,6,77
2021-10-27 16:13:13.187500+00:00,-11,6,78
2021-10-27 16:13:13.218750+00:00,-13,14,75
2021-10-27 16:13:13.250000+00:00,-10,12,61
2021-10-27 16:13:13.281250+00:00,-10,10,59
2021-10-27 16:13:13.312500+00:00,-11,8,60
2021-10-27 16:13:13.343750+00:00,-11,9,59
2021-10-27 16:13:13.375000+00:00,-8,8,52
2021-10-27 16:13:13.406250+00:00,-7,6,50
2021-10-27 16:13:13.437500+00:00,-8,2,51
2021-10-27 16:13:13.468750+00:00,-7,-1,49
2021-10-27 16:13:13.500000+00:00,-6,-3,49
2021-10-27 16:13:13.531250+00:00,-6,-5,53
2021-10-27 16:13:13.562500+00:00,-5,-7,55
2021-10-27 16:13:13.593750+00:00,-7,-6,60
2021-10-27 16:13:13.625000+00:00,-9,-4,61
2021-10-27 16:13:13.656250+00:00,-7,-1,65
2021-10-27 16:13:13.687500+00:00,-7,2,70
2021-10-27 16:13:13.718750+00:00,-6,3,71
2021-10-27 16:13:13.750000+00:00,-2,2,68
2021-10-27 16:13:13.781250+00:00,-4,0,71
2021-10-27 16:13:13.812500+00:00,-11,1,81
2021-10-27 16:13:13.843750+00:00,-14,6,81
2021-10-27 16:13:13.875000+00:00,-16,7,71
2021-10-27 16:13:13.906250+00:00,-13,3,68
2021-10-27 16:13:13.937500+00:00,-13,4,67
2021-10-27 16:13:13.968750+00:00,-13,5,59
2021-10-27 16:13:14+00:00,-10,5,56
2021-10-27 16:13:14.031250+00:00,-7,6,51
2021-10-27 16:13:14.062500+00:00,-8,6,49
2021-10-27 16:13:14.093750+00:00,-7,5,47
2021-10-27 16:13:14.125000+00:00,-4,3,47
2021-10-27 16:13:14.156250+00:00,-5,2,49
2021-10-27 16:13:14.187500+00:00,-5,-1,54
2021-10-27 16:13:14.218750+00:00,-6,-2,56
2021-10-27 16:13:14.250000+00:00,-9,-3,60
2021-10-27 16:13:14.281250+00:00,-10,-4,63
2021-10-27 16:13:14.312500+00:00,-12,2,73
2021-10-27 16:13:14.343750+00:00,-13,6,75
2021-10-27 16:13:14.375000+00:00,-13,4,75
2021-10-27 16:13:14.406250+00:00,-14,7,82
2021-10-27 16:13:14.437500+00:00,-18,10,82
2021-10-27 16:13:14.468750+00:00,-13,16,73
2021-10-27 16:13:14.500000+00:00,-10,14,64
2021-10-27 16:13:14.531250+00:00,-10,8,57
2021-10-27 16:13:14.562500+00:00,-10,10,60
2021-10-27 16:13:14.593750+00:00,-8,11,57
2021-10-27 16:13:14.625000+00:00,-7,8,50
2021-10-27 16:13:14.656250+00:00,-7,6,51
2021-10-27 16:13:14.687500+00:00,-6,3,52
2021-10-27 16:13:14.718750+00:00,-6,1,50
2021-10-27 16:13:14.750000+00:00,-5,-2,50
2021-10-27 16:13:14.781250+00:00,-5,-4,54
2021-10-27 16:13:14.812500+00:00,-5,-4,56
2021-10-27 16:13:14.843750+00:00,-6,-5,59
2021-10-27 16:13:14.875000+00:00,-5,-5,60
2021-10-27 16:13:14.906250+00:00,-6,-6,64
2021-10-27 16:13:14.937500+00:00,-7,-4,67
2021-10-27 16:13:14.968750+00:00,-7,-1,69
2021-10-27 16:13:15+00:00,-9,-6,68
2021-10-27 16:13:15.031250+00:00,-13,-8,71
2021-10-27 16:13:15.062500+00:00,-21,-9,78
2021-10-27 16:13:15.093750+00:00,-25,-4,82
2021-10-27 16:13:15.125000+00:00,-27,1,73
2021-10-27 16:13:15.156250+00:00,-25,-1,67
2021-10-27 16:13:15.187500+00:00,-21,-3,62
2021-10-27 16:13:15.218750+00:00,-18,-2,55
2021-10-27 16:13:15.250000+00:00,-15,-1,53
2021-10-27 16:13:15.281250+00:00,-12,0,51
2021-10-27 16:13:15.312500+00:00,-10,0,49
2021-10-27 16:13:15.343750+00:00,-12,-1,46
2021-10-27 16:13:15.375000+00:00,-11,-2,47
2021-10-27 16:13:15.406250+00:00,-10,-5,49
2021-10-27 16:13:15.437500+00:00,-10,-5,56
2021-10-27 16:13:15.468750+00:00,-9,-4,59
2021-10-27 16:13:15.500000+00:00,-11,-4,60
2021-10-27 16:13:15.531250+00:00,-13,-4,63
2021-10-27 16:13:15.562500+00:00,-12,-1,70
2021-10-27 16:13:15.593750+00:00,-12,1,70
2021-10-27 16:13:15.625000+00:00,-14,2,72
2021-10-27 16:13:15.656250+00:00,-16,5,80
2021-10-27 16:13:15.687500+00:00,-20,10,82
2021-10-27 16:13:15.718750+00:00,-11,14,71
2021-10-27 16:13:15.750000+00:00,-9,12,61
2021-10-27 16:13:15.781250+00:00,-13,8,59
2021-10-27 16:13:15.812500+00:00,-13,8,62
2021-10-27 16:13:15.843750+00:00,-10,8,54
2021-10-27 16:13:15.875000+00:00,-8,4,47
2021-10-27 16:13:15.906250+00:00,-9,2,47
2021-10-27 16:13:15.937500+00:00,-10,-1,49
2021-10-27 16:13:15.968750+00:00,-10,-2,49
2021-10-27 16:13:16+00:00,-9,-2,50
2021-10-27 16:13:16.031250+00:00,-7,-3,52
2021-10-27 16:13:16.062500+00:00,-8,-3,58
2021-10-27 16:13:16.093750+00:00,-10,-6,60
2021-10-27 16:13:16.125000+00:00,-9,-7,62
2021-10-27 16:13:16.156250+00:00,-12,-5,67
2021-10-27 16:13:16.187500+00:00,-13,-3,67
2021-10-27 16:13:16.218750+00:00,-12,-1,68
2021-10-27 16:13:16.250000+00:00,-13,-4,69
2021-10-27 16:13:16.281250+00:00,-23,-7,74
2021-10-27 16:13:16.312500+00:00,-32,-1,73
2021-10-27 16:13:16.343750+00:00,-31,2,69
2021-10-27 16:13:16.375000+00:00,-27,-1,63
2021-10-27 16:13:16.406250+00:00,-27,-2,62
2021-10-27 16:13:16.437500+00:00,-25,0,63
2021-10-27 16:13:16.468750+00:00,-22,1,60
2021-10-27 16:13:16.500000+00:00,-14,4,53
2021-10-27 16:13:16.531250+00:00,-12,3,48
2021-10-27 16:13:16.562500+00:00,-14,2,48
2021-10-27 16:13:16.593750+00:00,-13,-1,46
2021-10-27 16:13:16.625000+00:00,-14,-3,47
2021-10-27 16:13:16.656250+00:00,-15,-4,52
2021-10-27 16:13:16.687500+00:00,-18,-2,56
2021-10-27 16:13:16.718750+00:00,-16,0,61
2021-10-27 16:13:16.750000+00:00,-16,1,65
2021-10-27 16:13:16.781250+00:00,-18,4,67
2021-10-27 16:13:16.812500+00:00,-20,6,73
2021-10-27 16:13:16.843750+00:00,-19,7,75
2021-10-27 16:13:16.875000+00:00,-25,10,83
2021-10-27 16:13:16.906250+00:00,-25,17,81
2021-10-27 16:13:16.937500+00:00,-20,16,71
2021-10-27 16:13:16.968750+00:00,-16,11,59
2021-10-27 16:13:17+00:00,-16,9,58
2021-10-27 16:13:17.031250+00:00,-15,8,54
2021-10-27 16:13:17.062500+00:00,-12,6,48
2021-10-27 16:13:17.093750+00:00,-12,1,40
2021-10-27 16:13:17.125000+00:00,-13,-1,41
2021-10-27 16:13:17.156250+00:00,-13,-4,43
2021-10-27 16:13:17.187500+00:00,-13,-6,44
2021-10-27 16:13:17.218750+00:00,-13,-7,48
2021-10-27 16:13:17.250000+00:00,-11,-9,55
2021-10-27 16:13:17.281250+00:00,-13,-9,58
2021-10-27 16:13:17.312500+00:00,-16,-8,62
2021-10-27 16:13:17.343750+00:00,-19,-7,65
2021-10-27 16:13:17.375000+00:00,-22,-4,71
2021-10-27 16:13:17.406250+00:00,-22,-3,72
2021-10-27 16:13:17.437500+00:00,-23,-7,71
2021-10-27 16:13:17.468750+00:00,-32,-11,79
2021-10-27 16:13:17.500000+00:00,-37,-9,80
2021-10-27 16:13:17.531250+00:00,-37,-5,69
2021-10-27 16:13:17.562500+00:00,-36,-6,66
2021-10-27 16:13:17.593750+00:00,-33,-5,64
2021-10-27 16:13:17.625000+00:00,-24,-1,54
2021-10-27 16:13:17.656250+00:00,-19,0,49
2021-10-27 16:13:17.687500+00:00,-14,0,43
2021-10-27 16:13:17.718750+00:00,-13,0,43
2021-10-27 16:13:17.750000+00:00,-12,-2,41
2021-10-27 16:13:17.781250+00:00,-15,-4,42
2021-10-27 16:13:17.812500+00:00,-16,-5,44
2021-10-27 16:13:17.843750+00:00,-17,-6,51
2021-10-27 16:13:17.875000+00:00,-17,-5,55
2021-10-27 16:13:17.906250+00:00,-23,-6,64
2021-10-27 16:13:17.937500+00:00,-26,-6,70
2021-10-27 16:13:17.968750+00:00,-23,1,78
2021-10-27 16:13:18+00:00,-26,4,80
2021-10-27 16:13:18.031250+00:00,-24,6,83
2021-10-27 16:13:18.062500+00:00,-19,11,82
2021-10-27 16:13:18.093750+00:00,-16,9,75
2021-10-27 16:13:18.125000+00:00,-14,5,65
2021-10-27 16:13:18.156250+00:00,-16,5,66
2021-10-27 16:13:18.187500+00:00,-16,5,60
2021-10-27 16:13:18.218750+00:00,-10,1,45
2021-10-27 16:13:18.250000+00:00,-11,-1,41
2021-10-27 16:13:18.281250+00:00,-13,-6,40
2021-10-27 16:13:18.312500+00:00,-12,-8,41
2021-10-27 16:13:18.343750+00:00,-13,-8,46
2021-10-27 16:13:18.375000+00:00,-12,-9,48
2021-10-27 16:13:18.406250+00:00,-16,-10,47
2021-10-27 16:13:18.437500+00:00,-6,-11,57
2021-10-27 16:13:18.468750+00:00,-10,-12,60
2021-10-27 16:13:18.500000+00:00,-17,-13,61
2021-10-27 16:13:18.531250+00:00,-13,-8,69
2021-10-27 16:13:18.562500+00:00,-12,-3,73
2021-10-27 16:13:18.593750+00:00,-22,-11,64
2021-10-27 16:13:18.625000+00:00,-31,-14,71
2021-10-27 16:13:18.656250+00:00,-25,-13,72
2021-10-27 16:13:18.687500+00:00,-29,-14,70
2021-10-27 16:13:18.718750+00:00,-42,-13,64
2021-10-27 16:13:18.750000+00:00,-38,-11,65
2021-10-27 16:13:18.781250+00:00,-28,-8,56
2021-10-27 16:13:18.812500+00:00,-24,-3,50
2021-10-27 16:13:18.843750+00:00,-8,-1,49
2021-10-27 16:13:18.875000+00:00,-17,2,48
2021-10-27 16:13:18.906250+00:00,-17,1,47
2021-10-27 16:13:18.937500+00:00,-14,-2,45
2021-10-27 16:13:18.968750+00:00,-14,-3,48
2021-10-27 16:13:19+00:00,-14,-1,53
2021-10-27 16:13:19.031250+00:00,-15,-2,54
2021-10-27 16:13:19.062500+00:00,-14,-3,66
2021-10-27 16:13:19.093750+00:00,-20,1,73
2021-10-27 16:13:19.125000+00:00,-24,2,72
2021-10-27 16:13:19.156250+00:00,-23,5,76
2021-10-27 16:13:19.187500+00:00,-22,7,78
2021-10-27 16:13:19.218750+00:00,-29,14,78
2021-10-27 16:13:19.250000+00:00,-24,16,74
2021-10-27 16:13:19.281250+00:00,-20,12,63
2021-10-27 16:13:19.312500+00:00,-17,11,62
2021-10-27 16:13:19.343750+00:00,-16,12,60
2021-10-27 16:13:19.375000+00:00,-13,11,49
2021-10-27 16:13:19.406250+00:00,-10,7,46
2021-10-27 16:13:19.437500+00:00,-9,4,46
2021-10-27 16:13:19.468750+00:00,-12,2,44
2021-10-27 16:13:19.500000+00:00,-15,-2,42
2021-10-27 16:13:19.531250+00:00,-15,-5,45
2021-10-27 16:13:19.562500+00:00,-16,-6,47
2021-10-27 16:13:19.593750+00:00,-18,-9,52
2021-10-27 16:13:19.625000+00:00,-21,-10,55
2021-10-27 16:13:19.656250+00:00,-23,-11,57
2021-10-27 16:13:19.687500+00:00,-25,-9,61
2021-10-27 16:13:19.718750+00:00,-32,-1,73
2021-10-27 16:13:19.750000+00:00,-35,-1,73
2021-10-27 16:13:19.781250+00:00,-38,-1,72
2021-10-27 16:13:19.812500+00:00,-38,2,76
2021-10-27 16:13:19.843750+00:00,-38,5,75
2021-10-27 16:13:19.875000+00:00,-40,7,66
2021-10-27 16:13:19.906250+00:00,-39,6,65
2021-10-27 16:13:19.937500+00:00,-32,6,62
2021-10-27 16:13:19.968750+00:00,-25,7,52
2021-10-27 16:13:20+00:00,-20,7,46
2021-10-27 16:13:20.031250+00:00,-14,7,40
2021-10-27 16:13:20.062500+00:00,-13,7,39
2021-10-27 16:13:20.093750+00:00,-18,5,38
2021-10-27 16:13:20.125000+00:00,-21,3,38
2021-10-27 16:13:20.156250+00:00,-21,3,44
2021-10-27 16:13:20.187500+00:00,-31,5,56
2021-10-27 16:13:20.218750+00:00,-32,5,57
2021-10-27 16:13:20.250000+00:00,-38,5,57
2021-10-27 16:13:20.281250+00:00,-42,6,58
2021-10-27 16:13:20.312500+00:00,-41,8,67
2021-10-27 16:13:20.343750+00:00,-40,7,68
2021-10-27 16:13:20.375000+00:00,-49,8,72
2021-10-27 16:13:20.406250+00:00,-50,12,70
2021-10-27 16:13:20.437500+00:00,-42,12,63
2021-10-27 16:13:20.468750+00:00,-30,9,59
2021-10-27 16:13:20.500000+00:00,-27,7,60
2021-10-27 16:13:20.531250+00:00,-27,7,53
2021-10-27 16:13:20.562500+00:00,-25,6,47
2021-10-27 16:13:20.593750+00:00,-20,4,41
2021-10-27 16:13:20.625000+00:00,-15,0,41
2021-10-27 16:13:20.656250+00:00,-15,-1,42
2021-10-27 16:13:20.687500+00:00,-23,-2,47
2021-10-27 16:13:20.718750+00:00,-24,-2,50
2021-10-27 16:13:20.750000+00:00,-28,-2,56
2021-10-27 16:13:20.781250+00:00,-30,-1,56
2021-10-27 16:13:20.812500+00:00,-30,-1,58
2021-10-27 16:13:20.843750+00:00,-33,3,60
2021-10-27 16:13:20.875000+00:00,-35,6,63
2021-10-27 16:13:20.906250+00:00,-40,5,62
2021-10-27 16:13:20.937500+00:00,-43,3,62
2021-10-27 16:13:20.968750+00:00,-52,3,67
2021-10-27 16:13:21+00:00,-51,9,61
2021-10-27 16:13:21.031250+00:00,-46,7,55
2021-10-27 16:13:21.062500+00:00,-34,2,52
2021-10-27 16:13:21.093750+00:00,-33,3,53
2021-10-27 16:13:21.125000+00:00,-34,6,48
2021-10-27 16:13:21.156250+00:00,-29,6,45
2021-10-27 16:13:21.187500+00:00,-22,5,40
2021-10-27 16:13:21.218750+00:00,-19,2,38
2021-10-27 16:13:21.250000+00:00,-25,-2,38
2021-10-27 16:13:21.281250+00:00,-29,-5,43
2021-10-27 16:13:21.312500+00:00,-37,-6,44
2021-10-27 16:13:21.343750+00:00,-50,-4,46
2021-10-27 16:13:21.375000+00:00,-49,-2,49
2021-10-27 16:13:21.406250+00:00,-44,-2,53
2021-10-27 16:13:21.437500+00:00,-43,-2,55
2021-10-27 16:13:21.468750+00:00,-46,1,56
2021-10-27 16:13:21.500000+00:00,-47,-1,62
2021-10-27 16:13:21.531250+00:00,-49,0,67
2021-10-27 16:13:21.562500+00:00,-41,8,66
2021-10-27 16:13:21.593750+00:00,-34,10,60
2021-10-27 16:13:21.625000+00:00,-21,3,56
2021-10-27 16:13:21.656250+00:00,-21,1,55
2021-10-27 16:13:21.687500+00:00,-33,7,56
2021-10-27 16:13:21.718750+00:00,-30,10,56
2021-10-27 16:13:21.750000+00:00,-24,9,54
2021-10-27 16:13:21.781250+00:00,-15,5,50
2021-10-27 16:13:21.812500+00:00,-13,4,48
2021-10-27 16:13:21.843750+00:00,-18,1,49
2021-10-27 16:13:21.875000+00:00,-24,-2,51
2021-10-27 16:13:21.906250+00:00,-25,-3,53
2021-10-27 16:13:21.937500+00:00,-29,-5,53
2021-10-27 16:13:21.968750+00:00,-31,-5,54
2021-10-27 16:13:22+00:00,-37,-4,57
2021-10-27 16:13:22.031250+00:00,-39,-6,57
2021-10-27 16:13:22.062500+00:00,-45,-11,60
2021-10-27 16:13:22.093750+00:00,-52,-11,66
2021-10-27 16:13:22.125000+00:00,-56,-6,64
2021-10-27 16:13:22.156250+00:00,-52,-6,54
2021-10-27 16:13:22.187500+00:00,-48,-8,53
2021-10-27 16:13:22.218750+00:00,-42,-9,50
2021-10-27 16:13:22.250000+00:00,-42,-6,46
2021-10-27 16:13:22.281250+00:00,-34,-3,43
2021-10-27 16:13:22.312500+00:00,-27,-2,40
2021-10-27 16:13:22.343750+00:00,-26,-3,39
2021-10-27 16:13:22.375000+00:00,-24,-5,39
2021-10-27 16:13:22.406250+00:00,-24,-5,40
2021-10-27 16:13:22.437500+00:00,-29,-5,45
2021-10-27 16:13:22.468750+00:00,-28,-3,48
2021-10-27 16:13:22.500000+00:00,-31,-4,53
2021-10-27 16:13:22.531250+00:00,-29,-4,62
2021-10-27 16:13:22.562500+00:00,-30,-1,65
2021-10-27 16:13:22.593750+00:00,-32,0,68
2021-10-27 16:13:22.625000+00:00,-31,1,72
2021-10-27 16:13:22.656250+00:00,-28,2,75
2021-10-27 16:13:22.687500+00:00,-34,7,73
2021-10-27 16:13:22.718750+00:00,-31,8,64
2021-10-27 16:13:22.750000+00:00,-28,3,59
2021-10-27 16:13:22.781250+00:00,-28,3,58
2021-10-27 16:13:22.812500+00:00,-28,2,51
2021-10-27 16:13:22.843750+00:00,-28,0,48
2021-10-27 16:13:22.875000+00:00,-23,-4,43
2021-10-27 16:13:22.906250+00:00,-21,-5,42
2021-10-27 16:13:22.937500+00:00,-23,-9,41
2021-10-27 16:13:22.968750+00:00,-23,-12,45
2021-10-27 16:13:23+00:00,-23,-12,47
2021-10-27 16:13:23.031250+00:00,-24,-11,50
2021-10-27 16:13:23.062500+00:00,-24,-10,52
2021-10-27 16:13:23.093750+00:00,-28,-11,54
2021-10-27 16:13:23.125000+00:00,-30,-10,57
2021-10-27 16:13:23.156250+00:00,-35,-8,61
2021-10-27 16:13:23.187500+00:00,-35,-10,64
2021-10-27 16:13:23.218750+00:00,-39,-12,64
2021-10-27 16:13:23.250000+00:00,-50,-12,71
2021-10-27 16:13:23.281250+00:00,-55,-4,72
2021-10-27 16:13:23.312500+00:00,-49,-3,61
2021-10-27 16:13:23.343750+00:00,-43,-5,59
2021-10-27 16:13:23.375000+00:00,-38,-7,56
2021-10-27 16:13:23.406250+00:00,-40,-7,47
2021-10-27 16:13:23.437500+00:00,-36,-5,45
2021-10-27 16:13:23.468750+00:00,-27,-4,42
2021-10-27 16:13:23.500000+00:00,-25,-4,39
2021-10-27 16:13:23.531250+00:00,-25,-6,36
2021-10-27 16:13:23.562500+00:00,-27,-7,37
2021-10-27 16:13:23.593750+00:00,-30,-10,42
2021-10-27 16:13:23.625000+00:00,-32,-10,47
2021-10-27 16:13:23.656250+00:00,-34,-11,48
2021-10-27 16:13:23.687500+00:00,-36,-14,52
2021-10-27 16:13:23.718750+00:00,-39,-13,54
2021-10-27 16:13:23.750000+00:00,-45,-9,57
2021-10-27 16:13:23.781250+00:00,-42,-10,62
2021-10-27 16:13:23.812500+00:00,-42,-7,69
2021-10-27 16:13:23.843750+00:00,-45,3,65
2021-10-27 16:13:23.875000+00:00,-37,3,60
2021-10-27 16:13:23.906250+00:00,-33,0,57
2021-10-27 16:13:23.937500+00:00,-32,1,58
